project_id,risk_category,duration_proposed_to_scrutiny,duration_scrutiny_to_notification,duration_notification_to_declaration,duration_declaration_to_award,duration_award_to_compensation,duration_compensation_to_possession,duration_possession_to_closed,area_acquired_hectares,dispute_duration_days,pending_approvals_count,avg_approval_turnaround_days,stakeholder_responsiveness_score,compensation_assessed_inr,compensation_disbursed_inr,compensation_disbursed_pct,affected_families,displaced_families,rr_progress_percent,cohort_benchmark_days,legal_dispute_flag,documentation_complete,rr_required,project_type,state,status,dispute_type
PRJ-00384,Medium,59,84,71,62,61,72,44,2.18,35,0,45.1,2.9,46926.0,23862.0,0.5085,411,191,77.7,792,0,1,1,Border Infrastructure,Gujarat,completed,encroachment
PRJ-00385,Medium,59,80,101,53,71,47,42,0.94,25,0,17.1,2.2,47950.0,19300.0,0.4025,13,2,61.2,658,0,1,0,Border Infrastructure,West Bengal,planned,compensation
PRJ-00386,Medium,60,79,148,104,74,91,83,2.95,30,0,16.7,2.8,129738.0,86289.0,0.6651,251,132,50.0,708,1,1,1,Border Infrastructure,Tamil Nadu,planned,legal_challenge
PRJ-00387,Critical,110,52,127,118,63,142,83,3.37,312,6,29.7,0.6,17771.0,3076.0,0.1731,224,41,23.5,646,0,1,0,Railway,Uttar Pradesh,completed,boundary
PRJ-00388,Medium,42,74,158,46,66,63,49,5.72,30,0,57.7,0.9,55012.0,38750.0,0.7044,150,71,91.3,678,0,1,1,Highway,Telangana,completed,compensation
PRJ-00389,Low,39,36,122,47,76,43,40,7.74,2,0,56.2,3.6,89831.0,89831.0,1.0,357,229,97.9,609,1,1,1,Railway,Maharashtra,planned,legal_challenge
PRJ-00390,Medium,101,54,115,120,89,34,52,1.4,79,1,16.0,3.3,535001.0,381991.0,0.714,353,112,48.4,504,1,1,1,Resettlement,Telangana,on_hold,legal_challenge
PRJ-00391,High,96,61,117,138,60,71,54,3.22,138,2,55.1,0.9,132340.0,66818.0,0.5049,162,74,23.0,796,0,1,0,Border Infrastructure,Andhra Pradesh,active,boundary
PRJ-00392,High,92,40,127,115,96,114,60,3.96,64,0,12.1,3.3,108730.0,0.0,0.0,114,46,21.4,573,0,1,0,Power Line,Karnataka,active,encroachment
PRJ-00393,Low,81,68,111,33,60,91,34,6.24,0,0,6.1,5.7,23487.0,21096.0,0.8982,246,182,100.0,622,1,1,1,Industrial,Maharashtra,completed,title_dispute
PRJ-00394,Medium,72,63,128,130,71,77,79,1.49,78,3,12.0,2.8,26559.0,18639.0,0.7018,151,85,42.4,705,1,0,1,Highway,West Bengal,planned,title_dispute
PRJ-00395,Low,33,44,99,60,75,100,61,8.07,3,0,50.9,3.4,11648.0,10995.0,0.9439,151,23,96.8,706,0,1,0,Power Line,Tamil Nadu,completed,encroachment
PRJ-00396,Low,95,51,110,114,47,76,31,6.38,0,0,47.2,1.6,5531.0,4704.0,0.8505,146,91,90.0,580,1,1,1,Resettlement,Maharashtra,active,title_dispute
PRJ-00397,Low,42,63,78,42,57,106,38,3.76,5,0,46.1,1.4,1145569.0,886098.0,0.7735,475,34,93.2,545,1,1,0,Railway,Uttar Pradesh,active,legal_challenge
PRJ-00398,Medium,74,45,112,82,61,107,44,17.44,22,1,41.5,6.5,1435296.0,898208.0,0.6258,481,155,93.2,402,0,1,1,Resettlement,Telangana,on_hold,boundary
PRJ-00399,Medium,68,76,107,78,46,105,46,4.35,17,2,54.5,5.3,85561.0,61972.0,0.7243,494,101,52.3,675,1,1,0,Railway,Karnataka,planned,legal_challenge
PRJ-00400,High,63,61,128,112,51,104,52,4.45,177,5,36.6,2.2,91783.0,49902.0,0.5437,464,217,57.1,414,0,0,1,Border Infrastructure,Madhya Pradesh,completed,compensation
PRJ-00401,Medium,37,62,123,72,46,53,77,3.72,74,3,42.9,3.0,18670.0,13534.0,0.7249,279,2,66.0,534,0,0,0,Power Line,Gujarat,active,boundary
PRJ-00402,Medium,63,63,151,73,52,80,74,3.45,34,1,49.2,3.3,187543.0,89364.0,0.4765,98,74,65.2,749,0,1,1,Highway,West Bengal,active,encroachment
PRJ-00403,Low,62,37,89,62,101,59,50,9.74,21,0,41.9,4.0,1517526.0,1517526.0,1.0,433,214,84.6,479,0,1,1,Industrial,Gujarat,active,boundary
PRJ-00404,Critical,75,86,159,131,71,108,76,3.08,235,4,47.3,1.8,9003.0,0.0,0.0,322,81,28.2,694,1,1,1,Railway,Madhya Pradesh,planned,legal_challenge
PRJ-00405,High,79,71,146,117,47,127,65,7.03,48,0,19.4,4.4,90546.0,27010.0,0.2983,274,175,28.7,644,0,0,1,Resettlement,Andhra Pradesh,completed,compensation
PRJ-00406,Critical,108,57,143,87,86,134,82,4.44,348,7,17.5,2.3,955385.0,417981.0,0.4375,240,60,21.6,404,1,0,0,Border Infrastructure,West Bengal,active,encroachment
PRJ-00407,High,57,72,125,62,90,129,80,0.26,66,2,25.3,4.0,68535.0,20821.0,0.3038,246,188,19.4,575,0,1,1,Resettlement,West Bengal,on_hold,compensation
PRJ-00408,High,104,67,105,87,89,72,73,1.5,122,5,36.1,2.9,72027.0,5071.0,0.0704,97,44,24.0,694,0,1,0,Border Infrastructure,Gujarat,on_hold,boundary
PRJ-00409,Low,106,69,77,125,58,35,49,3.48,14,1,7.5,0.3,285146.0,277818.0,0.9743,417,3,99.6,615,0,1,0,Railway,Gujarat,completed,encroachment
PRJ-00410,Medium,96,41,111,65,40,92,71,3.63,86,0,14.0,2.9,106134.0,87921.0,0.8284,208,16,60.6,483,1,1,1,Railway,Andhra Pradesh,on_hold,encroachment
PRJ-00411,Medium,41,64,108,66,53,94,30,4.75,103,2,49.3,5.3,189591.0,133794.0,0.7057,482,312,63.1,576,1,0,0,Border Infrastructure,Karnataka,on_hold,boundary
PRJ-00412,Medium,94,49,81,102,74,86,38,3.3,122,2,12.7,0.8,193525.0,122637.0,0.6337,254,157,71.8,628,0,1,1,Industrial,Telangana,active,boundary
PRJ-00413,High,49,45,126,68,111,67,63,8.2,184,3,25.0,1.2,693715.0,161982.0,0.2335,439,318,8.3,440,1,0,1,Industrial,Tamil Nadu,on_hold,encroachment
PRJ-00414,High,73,42,172,49,88,94,81,5.51,88,4,18.5,0.3,68721.0,15943.0,0.232,404,278,23.8,585,1,1,0,Power Line,Rajasthan,on_hold,legal_challenge
PRJ-00415,High,92,55,162,138,89,95,56,7.25,54,2,7.7,5.6,1789845.0,0.0,0.0,343,69,56.8,780,0,0,1,Border Infrastructure,Madhya Pradesh,active,compensation
PRJ-00416,Medium,64,59,120,106,105,80,39,0.66,7,3,32.3,0.9,287291.0,169674.0,0.5906,273,167,73.8,442,1,1,1,Highway,Karnataka,planned,encroachment
PRJ-00417,Medium,89,52,96,75,68,54,73,0.79,33,1,42.1,1.4,176278.0,106913.0,0.6065,325,32,100.0,669,0,0,0,Power Line,Karnataka,completed,boundary
PRJ-00418,Critical,55,68,108,146,95,126,63,1.15,261,6,10.2,6.5,11537.0,1423.0,0.1233,74,57,11.2,757,1,1,0,Border Infrastructure,West Bengal,completed,legal_challenge
PRJ-00419,High,65,42,139,102,75,87,52,7.64,174,2,41.8,0.4,148888.0,92608.0,0.622,470,130,8.0,676,1,0,1,Power Line,Madhya Pradesh,completed,legal_challenge
PRJ-00420,Low,45,36,121,51,73,63,47,6.25,0,0,30.8,1.7,25388.0,25388.0,1.0,272,177,63.8,469,0,1,1,Resettlement,Rajasthan,completed,boundary
PRJ-00421,Medium,52,34,147,60,53,64,41,3.88,65,1,40.2,0.5,527525.0,235698.0,0.4468,310,57,71.5,403,0,1,0,Power Line,Maharashtra,completed,encroachment
PRJ-00422,High,80,56,138,127,118,109,62,1.99,235,4,17.4,4.4,20214.0,0.0,0.0,429,129,45.0,534,1,1,0,Border Infrastructure,Uttar Pradesh,active,compensation
PRJ-00423,High,88,67,115,119,44,124,64,3.3,176,2,26.9,5.7,8228.0,1782.0,0.2166,216,32,32.4,435,1,1,0,Power Line,Telangana,on_hold,boundary
PRJ-00424,High,80,60,138,91,109,103,73,1.86,59,3,11.0,1.0,89522.0,42478.0,0.4745,14,1,45.3,673,1,0,0,Border Infrastructure,Telangana,on_hold,title_dispute
PRJ-00425,Medium,92,44,88,90,104,81,52,22.04,1,1,38.4,4.0,498507.0,212364.0,0.426,51,6,53.8,652,1,1,1,Resettlement,Rajasthan,active,title_dispute
PRJ-00426,Medium,73,60,134,78,78,93,60,2.92,7,2,40.2,2.3,1045395.0,560854.0,0.5365,46,31,68.2,474,1,1,1,Resettlement,Uttar Pradesh,completed,boundary
PRJ-00427,Medium,54,48,96,53,39,81,84,7.7,24,1,14.2,4.3,2194906.0,1345038.0,0.6128,429,4,100.0,793,0,1,0,Railway,Karnataka,completed,compensation
PRJ-00428,Medium,70,47,118,89,91,104,64,2.79,22,3,11.2,1.5,138271.0,64089.0,0.4635,345,271,36.4,642,0,1,0,Power Line,Gujarat,planned,compensation
PRJ-00429,High,105,35,107,118,103,141,78,5.01,249,0,41.9,3.9,208613.0,85907.0,0.4118,134,51,13.7,552,1,0,0,Power Line,Tamil Nadu,planned,title_dispute
PRJ-00430,Medium,98,43,171,66,36,145,50,8.19,3,0,41.7,4.6,34961.0,23693.0,0.6777,411,90,34.1,461,1,1,1,Highway,Gujarat,active,title_dispute
PRJ-00431,High,66,59,104,132,80,82,65,11.19,190,1,22.6,4.5,200154.0,121654.0,0.6078,195,120,33.5,527,1,0,1,Highway,Gujarat,planned,legal_challenge
PRJ-00432,Low,54,71,121,66,65,54,82,5.72,10,0,41.7,2.7,152467.0,130664.0,0.857,364,156,83.5,454,1,1,1,Power Line,Karnataka,on_hold,title_dispute
PRJ-00433,High,69,50,145,103,64,88,69,0.98,7,4,9.0,2.8,107117.0,72561.0,0.6774,188,108,21.4,528,0,1,1,Power Line,Andhra Pradesh,on_hold,encroachment
PRJ-00434,Medium,83,71,123,84,65,102,68,4.89,157,2,52.9,5.3,2301509.0,2279645.0,0.9905,170,99,66.4,540,0,1,0,Railway,Rajasthan,completed,compensation
PRJ-00435,Medium,105,38,75,124,68,87,53,6.58,39,2,10.2,3.0,97542.0,79126.0,0.8112,192,69,80.4,797,0,1,1,Highway,Tamil Nadu,active,encroachment
PRJ-00436,Medium,75,49,121,65,53,143,63,5.02,7,1,40.5,2.1,228179.0,228179.0,1.0,424,131,56.7,668,1,1,1,Highway,Tamil Nadu,on_hold,legal_challenge
PRJ-00437,Medium,68,40,160,66,100,80,84,2.65,67,0,35.5,3.0,467414.0,264416.0,0.5657,54,22,83.7,434,1,1,1,Industrial,Andhra Pradesh,on_hold,boundary
PRJ-00438,Medium,44,30,132,45,71,118,42,34.24,3,1,41.6,3.7,97036.0,42114.0,0.434,341,133,63.2,719,0,1,1,Industrial,Maharashtra,planned,encroachment
PRJ-00439,Critical,104,61,154,76,102,71,67,5.95,98,6,18.6,1.0,325590.0,0.0,0.0,480,341,3.9,440,0,1,1,Power Line,Telangana,planned,none
PRJ-00440,Medium,78,59,117,62,59,49,62,2.42,5,0,32.7,0.9,169854.0,125437.0,0.7385,432,105,30.9,510,1,1,1,Resettlement,Uttar Pradesh,planned,legal_challenge
PRJ-00441,Medium,39,73,68,127,69,73,77,11.33,37,3,6.3,2.6,1127848.0,888406.0,0.7877,341,67,54.1,720,1,1,1,Highway,Karnataka,active,legal_challenge
PRJ-00442,Low,46,33,73,136,49,43,36,2.74,34,0,44.6,1.6,17613.0,14430.0,0.8193,350,128,64.3,740,1,1,1,Power Line,Andhra Pradesh,completed,title_dispute
PRJ-00443,Medium,102,75,115,71,62,75,64,4.89,27,2,29.8,6.3,21705.0,12663.0,0.5834,312,110,99.8,580,1,1,0,Railway,Tamil Nadu,completed,legal_challenge
PRJ-00444,Medium,82,54,147,90,69,50,56,2.11,71,1,50.1,3.9,709330.0,498872.0,0.7033,293,127,56.3,592,1,1,1,Resettlement,West Bengal,completed,title_dispute
PRJ-00445,High,87,67,116,73,69,57,56,0.99,0,0,5.5,5.8,20830.0,10386.0,0.4986,150,71,32.0,665,1,1,1,Resettlement,Rajasthan,completed,encroachment
PRJ-00446,High,97,64,149,53,49,105,71,2.99,9,3,26.7,4.8,102198.0,9320.0,0.0912,475,210,35.0,684,0,1,1,Resettlement,Maharashtra,active,compensation
PRJ-00447,Low,60,68,120,71,48,112,54,2.51,21,0,49.2,1.7,1117557.0,893487.0,0.7995,460,214,98.9,519,0,1,1,Highway,Karnataka,completed,boundary
PRJ-00448,Low,61,33,61,49,71,41,35,18.42,12,0,44.2,0.9,83325.0,66810.0,0.8018,93,36,99.7,753,1,1,0,Border Infrastructure,Telangana,active,title_dispute
PRJ-00449,High,100,75,139,89,69,65,66,1.06,215,4,31.1,3.5,242814.0,16633.0,0.0685,45,28,22.0,794,0,1,1,Railway,Karnataka,on_hold,none
PRJ-00450,High,92,75,165,85,110,56,71,22.83,151,0,50.7,4.1,91176.0,12938.0,0.1419,161,67,23.5,563,1,1,1,Industrial,Karnataka,planned,title_dispute
PRJ-00451,Low,45,32,90,112,108,79,36,4.61,10,0,13.5,3.2,628481.0,522016.0,0.8306,390,185,85.7,658,0,1,0,Power Line,Andhra Pradesh,active,compensation
PRJ-00452,Medium,83,49,114,109,89,85,70,6.43,11,3,17.6,5.0,96380.0,46243.0,0.4798,209,43,30.8,604,0,1,1,Industrial,Tamil Nadu,on_hold,none
PRJ-00453,Medium,98,42,130,97,47,124,59,12.7,115,1,19.2,0.8,50038.0,41276.0,0.8249,292,143,71.2,776,0,1,1,Border Infrastructure,Tamil Nadu,active,encroachment
PRJ-00454,High,80,68,126,127,82,122,74,1.43,145,3,27.3,1.8,15976.0,9456.0,0.5919,183,27,12.5,576,0,0,1,Resettlement,Uttar Pradesh,planned,none
PRJ-00455,High,70,47,156,64,72,130,62,3.17,185,1,10.5,4.3,414921.0,0.0,0.0,230,8,7.0,519,1,0,1,Industrial,Rajasthan,on_hold,legal_challenge
PRJ-00456,High,90,73,152,89,115,78,87,4.43,71,3,23.3,4.1,2818403.0,650206.0,0.2307,12,3,22.0,456,0,1,1,Highway,Karnataka,planned,compensation
PRJ-00457,High,95,52,129,97,70,91,54,3.34,72,4,10.8,1.7,201135.0,84316.0,0.4192,252,125,61.8,472,0,1,1,Industrial,West Bengal,active,compensation
PRJ-00458,Low,63,81,100,114,36,45,46,12.25,6,0,59.4,4.7,314268.0,314268.0,1.0,32,11,100.0,404,0,1,1,Highway,Andhra Pradesh,on_hold,compensation
PRJ-00459,Critical,89,60,172,121,83,89,77,2.63,287,5,34.1,2.6,253933.0,15109.0,0.0595,123,96,20.8,660,0,0,1,Highway,West Bengal,planned,boundary
PRJ-00460,Medium,82,56,161,64,74,43,48,4.65,46,1,20.8,2.6,1246671.0,1121256.0,0.8994,479,273,76.7,420,0,1,1,Border Infrastructure,West Bengal,planned,compensation
PRJ-00461,Medium,60,47,113,109,47,126,68,7.08,62,1,26.2,1.6,35426.0,12644.0,0.3569,325,78,45.2,656,0,0,1,Power Line,Uttar Pradesh,active,none
PRJ-00462,Medium,38,59,97,50,84,100,50,9.63,30,0,20.8,1.0,66627.0,26498.0,0.3977,49,28,89.9,666,0,1,1,Highway,Uttar Pradesh,on_hold,compensation
PRJ-00463,Low,90,47,89,51,54,58,58,7.34,24,0,8.6,0.5,132071.0,79995.0,0.6057,234,101,96.9,505,1,1,0,Border Infrastructure,Gujarat,active,legal_challenge
PRJ-00464,High,56,42,115,70,61,118,36,0.85,188,1,32.9,5.6,34482.0,8486.0,0.2461,225,179,33.9,794,1,0,0,Industrial,Gujarat,on_hold,title_dispute
PRJ-00465,Medium,50,76,111,95,69,61,63,1.42,31,1,29.9,3.7,216844.0,142813.0,0.6586,167,112,56.7,474,1,1,1,Resettlement,Tamil Nadu,planned,legal_challenge
PRJ-00466,Medium,79,45,131,99,39,81,53,1.85,144,1,37.5,5.2,2373546.0,1924234.0,0.8107,82,51,63.1,454,1,0,0,Border Infrastructure,West Bengal,completed,boundary
PRJ-00467,Medium,42,42,128,38,86,36,59,12.73,81,0,43.3,0.5,7352762.0,1669812.0,0.2271,188,11,81.9,799,1,1,1,Resettlement,Telangana,active,legal_challenge
PRJ-00468,High,75,37,116,138,101,85,67,3.83,61,3,6.0,3.9,165486.0,77150.0,0.4662,256,97,41.9,483,1,0,1,Railway,Andhra Pradesh,completed,title_dispute
PRJ-00469,High,90,71,77,124,98,82,73,2.94,76,2,23.6,6.6,977916.0,268047.0,0.2741,38,5,20.2,624,0,1,1,Resettlement,Maharashtra,completed,compensation
PRJ-00470,Medium,66,50,146,103,93,84,43,2.05,8,2,29.3,3.8,195315.0,112013.0,0.5735,373,93,76.2,713,0,1,0,Border Infrastructure,West Bengal,active,encroachment
PRJ-00471,Medium,86,62,140,83,89,85,79,0.41,9,1,48.2,2.1,226512.0,220102.0,0.9717,270,116,47.3,776,1,1,0,Railway,Maharashtra,planned,encroachment
PRJ-00472,Medium,91,38,144,87,55,72,50,2.66,61,1,13.7,3.1,76507.0,70448.0,0.9208,241,32,61.7,550,0,0,0,Industrial,Maharashtra,on_hold,encroachment
PRJ-00473,High,81,75,140,64,60,97,62,6.76,41,1,26.3,4.5,18421.0,359.0,0.0195,403,188,28.6,756,0,1,1,Border Infrastructure,Tamil Nadu,completed,none
PRJ-00474,Critical,99,82,117,109,115,95,73,5.28,92,6,9.9,1.1,456161.0,0.0,0.0,51,10,43.3,754,1,1,0,Industrial,Maharashtra,completed,legal_challenge
PRJ-00475,Low,88,78,100,120,65,73,48,4.71,26,0,25.9,1.1,131482.0,126288.0,0.9605,48,20,100.0,596,0,1,0,Power Line,Tamil Nadu,planned,none
PRJ-00476,High,98,50,139,82,67,41,48,2.55,131,1,59.2,2.3,97869.0,14905.0,0.1523,88,61,22.6,491,0,0,1,Border Infrastructure,Tamil Nadu,completed,none
PRJ-00477,High,98,66,119,81,98,103,54,7.38,92,0,52.2,4.6,828392.0,0.0,0.0,323,197,37.4,406,0,1,1,Resettlement,Madhya Pradesh,active,none
PRJ-00478,Medium,101,40,116,66,103,63,79,3.59,73,1,49.2,3.8,15017.0,9597.0,0.6391,237,77,64.5,440,0,0,1,Highway,Andhra Pradesh,completed,compensation
PRJ-00479,Medium,59,40,141,91,41,85,58,5.03,5,0,56.3,2.8,211465.0,144769.0,0.6846,23,2,73.3,416,0,1,1,Resettlement,Andhra Pradesh,active,none
PRJ-00480,Low,82,37,97,121,43,133,85,1.65,9,0,22.4,4.2,38194.0,37648.0,0.9857,349,79,78.6,738,0,1,1,Resettlement,Rajasthan,planned,none
PRJ-00481,High,31,65,157,78,59,104,69,1.83,10,0,18.9,4.5,540050.0,0.0,0.0,398,95,21.1,588,1,1,0,Industrial,Andhra Pradesh,completed,title_dispute
PRJ-00482,Medium,54,56,120,42,71,109,65,8.04,29,1,6.0,2.8,1453496.0,1073988.0,0.7389,173,72,51.7,668,0,1,1,Railway,Uttar Pradesh,planned,boundary
PRJ-00483,High,88,71,152,112,78,103,76,1.48,223,2,10.3,0.6,56805.0,34776.0,0.6122,223,108,14.3,562,0,1,0,Power Line,Telangana,planned,encroachment
PRJ-00484,Critical,49,69,150,124,61,129,71,4.34,185,5,34.8,4.3,646690.0,0.0,0.0,418,60,4.7,712,1,0,1,Railway,Tamil Nadu,completed,legal_challenge
PRJ-00485,Medium,62,51,147,51,82,64,54,4.16,27,1,47.3,2.5,16998.0,10272.0,0.6043,414,203,60.9,612,0,1,1,Highway,Gujarat,planned,none
PRJ-00486,High,81,69,151,39,75,128,71,17.62,226,2,24.1,7.2,2463874.0,869748.0,0.353,135,85,36.4,557,0,1,0,Power Line,Andhra Pradesh,active,none
PRJ-00487,Medium,68,54,127,67,78,117,54,3.67,115,0,57.3,2.1,21938.0,13503.0,0.6155,431,60,56.4,569,0,1,1,Power Line,Karnataka,on_hold,boundary
PRJ-00488,Low,49,69,86,88,72,52,34,1.23,36,1,49.5,0.7,41713.0,32878.0,0.7882,463,124,100.0,611,0,0,1,Highway,Madhya Pradesh,active,encroachment
PRJ-00489,High,64,52,124,88,73,56,68,2.73,56,2,27.7,3.7,966524.0,173298.0,0.1793,414,303,49.1,581,1,0,1,Resettlement,Andhra Pradesh,on_hold,legal_challenge
PRJ-00490,Critical,65,85,138,106,46,113,74,18.41,314,7,14.8,3.4,30040.0,0.0,0.0,436,57,0.0,710,0,1,1,Resettlement,Tamil Nadu,planned,boundary
PRJ-00491,Low,38,58,99,40,31,98,36,1.22,6,0,37.2,4.3,135811.0,135811.0,1.0,259,181,84.1,590,1,1,0,Power Line,Rajasthan,on_hold,title_dispute
PRJ-00492,Low,47,32,101,79,103,77,48,8.11,2,0,50.6,3.7,44017.0,39272.0,0.8922,472,34,100.0,659,1,1,0,Railway,Gujarat,on_hold,compensation
PRJ-00493,Critical,51,77,160,90,98,103,82,4.81,138,4,43.0,7.1,152017.0,3162.0,0.0208,78,48,0.0,450,1,1,1,Resettlement,Gujarat,completed,title_dispute
PRJ-00494,High,102,73,124,77,75,84,51,2.25,170,4,30.0,4.0,223099.0,69495.0,0.3115,370,255,15.3,459,1,1,0,Power Line,Andhra Pradesh,active,compensation
PRJ-00495,Critical,95,66,134,56,90,110,51,5.39,46,7,15.8,1.7,366651.0,37618.0,0.1026,397,209,0.0,559,1,1,1,Highway,Telangana,on_hold,encroachment
PRJ-00496,Medium,36,60,110,117,49,105,66,3.62,77,1,14.4,1.1,13672.0,7876.0,0.5761,400,141,88.8,460,0,1,1,Resettlement,Gujarat,active,compensation
PRJ-00497,High,55,74,109,102,79,90,61,3.23,152,2,41.7,3.5,2129178.0,983041.0,0.4617,143,16,28.8,760,0,1,1,Highway,Karnataka,planned,compensation
PRJ-00498,Critical,60,69,159,87,88,146,76,3.56,246,6,47.2,4.7,101044.0,2223.0,0.022,30,3,25.2,641,1,1,1,Highway,Tamil Nadu,on_hold,legal_challenge
PRJ-00499,Low,69,59,106,58,64,56,35,10.05,17,0,23.1,1.3,24899.0,23226.0,0.9328,365,174,100.0,703,0,1,1,Highway,Maharashtra,completed,none
PRJ-00500,Medium,102,37,110,86,99,45,57,3.18,33,2,53.2,3.3,195870.0,108120.0,0.552,45,35,65.6,786,0,1,1,Railway,Madhya Pradesh,on_hold,boundary
PRJ-00501,High,105,64,76,112,81,65,52,4.93,248,4,39.2,1.5,241559.0,151602.0,0.6276,245,45,2.3,514,1,1,1,Highway,Madhya Pradesh,completed,boundary
PRJ-00502,High,90,59,161,66,91,36,80,1.82,237,3,16.8,1.0,148473.0,62062.0,0.418,408,280,44.5,566,0,0,1,Resettlement,Rajasthan,completed,compensation
PRJ-00503,Medium,85,65,105,55,61,113,83,3.58,40,1,12.7,3.4,200469.0,136660.0,0.6817,398,110,50.4,694,1,0,1,Highway,Madhya Pradesh,on_hold,encroachment
PRJ-00504,Medium,91,69,128,99,82,100,62,6.36,109,3,16.9,1.6,2727.0,2392.0,0.877,127,63,22.3,680,1,1,1,Resettlement,Karnataka,planned,boundary
PRJ-00505,High,80,39,132,118,57,101,65,4.29,131,2,17.5,2.2,1800036.0,170463.0,0.0947,283,157,26.9,488,1,1,1,Resettlement,Karnataka,active,title_dispute
PRJ-00506,High,77,58,151,129,68,121,72,1.22,140,2,50.3,6.0,516251.0,310473.0,0.6014,289,22,46.8,627,1,1,1,Power Line,Karnataka,completed,none
PRJ-00507,Medium,79,73,103,90,72,39,61,9.85,167,0,45.5,7.1,441937.0,365394.0,0.8268,51,8,19.4,471,0,1,0,Power Line,Karnataka,completed,boundary
PRJ-00508,High,67,68,130,80,89,101,65,3.64,105,3,43.3,4.5,363108.0,147785.0,0.407,105,17,15.3,562,0,1,0,Industrial,Maharashtra,active,encroachment
PRJ-00509,High,67,62,97,138,52,129,78,18.46,182,4,29.0,4.5,34873.0,33457.0,0.9594,211,143,40.8,550,1,1,0,Power Line,Uttar Pradesh,on_hold,none
PRJ-00510,High,74,63,92,55,72,60,47,1.64,12,2,52.9,3.8,8978.0,0.0,0.0,226,126,16.3,601,0,1,1,Power Line,Maharashtra,on_hold,none
PRJ-00511,Medium,115,48,91,91,54,105,49,2.85,12,0,51.5,3.6,92339.0,67500.0,0.731,289,88,82.0,584,1,1,1,Railway,Uttar Pradesh,active,title_dispute
PRJ-00512,High,75,66,164,99,97,101,39,8.0,47,4,57.3,0.7,57454.0,14134.0,0.246,341,119,55.5,469,1,1,1,Industrial,Tamil Nadu,planned,none
PRJ-00513,Medium,62,50,86,73,36,48,71,3.08,46,1,33.4,4.0,466171.0,300634.0,0.6449,287,188,91.9,596,1,1,1,Power Line,Madhya Pradesh,completed,legal_challenge
PRJ-00514,Medium,56,51,94,98,55,51,49,1.73,60,0,8.9,5.4,2800571.0,1866581.0,0.6665,215,159,72.6,695,1,1,1,Highway,Telangana,completed,title_dispute
PRJ-00515,Medium,101,52,117,106,61,99,43,2.44,109,2,49.6,1.8,188771.0,41228.0,0.2184,497,274,95.0,472,1,1,0,Railway,Maharashtra,completed,title_dispute
PRJ-00516,High,78,69,147,145,112,135,83,23.81,40,2,54.2,2.1,341785.0,47166.0,0.138,246,124,12.0,739,1,1,1,Border Infrastructure,Rajasthan,planned,legal_challenge
PRJ-00517,Low,43,60,99,50,78,71,55,3.78,9,0,39.0,0.2,184966.0,133971.0,0.7243,403,3,68.6,632,1,1,1,Railway,Andhra Pradesh,on_hold,legal_challenge
PRJ-00518,Medium,61,55,111,78,47,78,43,16.63,5,1,27.1,3.0,429339.0,283106.0,0.6594,377,236,75.2,533,1,1,1,Border Infrastructure,West Bengal,on_hold,boundary
PRJ-00519,High,67,55,109,122,42,56,54,2.73,91,4,48.9,1.7,145147.0,64286.0,0.4429,47,4,26.5,439,1,1,1,Power Line,Maharashtra,on_hold,title_dispute
PRJ-00520,High,99,77,154,30,112,130,82,6.36,6,0,10.1,3.2,224897.0,28225.0,0.1255,314,43,23.9,702,0,1,1,Railway,Tamil Nadu,on_hold,boundary
PRJ-00521,Low,68,50,151,44,62,89,65,8.73,48,0,56.8,3.2,147290.0,146406.0,0.994,180,141,83.1,474,0,1,1,Resettlement,Tamil Nadu,active,encroachment
PRJ-00522,High,99,47,89,104,83,80,78,3.94,215,1,54.0,3.9,2129239.0,687318.0,0.3228,112,51,45.5,576,1,1,0,Border Infrastructure,Madhya Pradesh,completed,compensation
PRJ-00523,High,86,55,71,56,73,101,53,10.72,115,3,43.7,4.3,593810.0,236693.0,0.3986,124,37,37.7,761,0,1,0,Industrial,Maharashtra,completed,encroachment
PRJ-00524,Medium,41,61,96,70,86,72,48,6.66,61,3,12.1,0.9,181643.0,74110.0,0.408,354,270,47.2,449,0,1,1,Highway,Uttar Pradesh,on_hold,encroachment
PRJ-00525,Medium,47,46,94,79,75,69,62,1.65,13,1,34.8,1.4,51032.0,32589.0,0.6386,340,158,76.6,636,0,1,0,Railway,Uttar Pradesh,on_hold,boundary
PRJ-00526,High,100,72,137,121,77,76,65,18.66,63,3,36.1,2.6,2004509.0,634828.0,0.3167,285,2,24.8,404,1,1,1,Industrial,Telangana,on_hold,title_dispute
PRJ-00527,Medium,85,46,107,71,65,101,54,2.77,49,1,35.5,6.4,244168.0,179000.0,0.7331,133,20,36.2,412,1,1,1,Railway,Karnataka,planned,title_dispute
PRJ-00528,High,106,72,103,85,96,110,72,3.56,230,0,29.3,0.9,3179665.0,868049.0,0.273,49,33,54.3,466,1,1,0,Power Line,Telangana,active,legal_challenge
PRJ-00529,Medium,80,36,175,96,90,85,69,5.04,27,1,11.2,4.3,361312.0,327746.0,0.9071,343,256,84.8,727,1,1,0,Industrial,Telangana,planned,title_dispute
PRJ-00530,Low,73,51,134,66,46,57,51,3.81,5,0,34.2,2.9,553675.0,346767.0,0.6263,402,20,98.6,598,0,0,0,Power Line,Uttar Pradesh,on_hold,boundary
